Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
91,2,1,1,1,123,3350000000.0,111666.67
121,3,1,1,1,120,3650000000.0,121666.67
140,3,1,1,1,136,15500000000.0,516666.67
126,2,1,1,1,41,5500000000.0,183333.33
450,2,1,1,0,3,4200000000.0,140000.0
500,2,1,1,0,3,3900000000.0,130000.0
110,1,1,1,1,119,6600000000.0,220000.0
145,3,1,1,1,64,4700000000.0,156666.67
81,2,1,1,1,154,810000000.0,27000.0
64,2,1,1,1,147,2200000000.0,73333.33
112,2,1,1,1,147,3680000000.0,122666.67
192,3,1,1,1,94,12670000000.0,422333.33
164,3,1,1,1,94,10000000000.0,333333.33
135,3,1,1,1,119,8100000000.0,270000.0
170,3,1,1,1,90,9200000000.0,306666.67
130,3,1,1,1,90,5200000000.0,173333.33
84,2,1,1,1,152,3400000000.0,113333.33
82,2,1,1,1,152,3550000000.0,118333.33
265,3,1,1,1,51,20000000000.0,666666.67
60,1,1,1,1,158,1950000000.0,65000.0
145,3,1,1,1,119,15500000000.0,516666.67
65,1,0,1,1,158,2000000000.0,66666.67
60,1,1,1,0,158,2280000000.0,76000.0
63,2,1,1,1,158,2000000000.0,66666.67
70,2,1,1,1,158,1950000000.0,65000.0
92,2,1,1,1,53,3900000000.0,130000.0
98,2,1,1,1,119,7800000000.0,260000.0
62,1,1,1,1,158,2280000000.0,76000.0
65,1,1,1,1,123,2900000000.0,96666.67
90,2,1,1,1,113,5000000000.0,166666.67
59,2,1,1,1,158,1900000000.0,63333.33
63,2,1,1,1,158,2000000000.0,66666.67
60,2,1,1,1,158,2200000000.0,73333.33
70,2,1,1,1,158,2500000000.0,83333.33
60,1,1,1,1,158,2200000000.0,73333.33
165,3,1,1,1,119,10500000000.0,350000.0
135,2,1,1,1,165,17500000000.0,583333.33
65,1,1,1,1,158,2000000000.0,66666.67
60,1,1,1,1,158,2250000000.0,75000.0
60,1,1,1,1,158,2250000000.0,75000.0
86,2,1,1,1,158,3600000000.0,120000.0
109,2,1,1,1,69,6000000000.0,200000.0
98,2,1,1,0,101,2842000000.0,94733.33
80,2,1,1,1,27,3120000000.0,104000.0
143,3,1,1,1,58,8860000000.0,295333.33
95,2,1,1,1,136,4550000000.0,151666.67
86,2,1,1,1,123,3700000000.0,123333.33
160,3,1,1,1,58,10000000000.0,333333.33
200,3,1,1,1,119,16580000000.0,552666.67
74,1,1,1,1,123,3250000000.0,108333.33
350,3,1,1,1,165,52500000000.0,1750000.0
87,2,1,1,1,109,3550000000.0,118333.33
82,2,1,1,1,153,3450000000.0,115000.0
55,1,1,1,1,147,2490000000.0,83000.0
148,3,1,1,1,44,8400000000.0,280000.0
55,1,1,0,1,147,2020000000.0,67333.33
100,2,1,1,0,158,3800000000.0,126666.67
55,1,0,1,0,153,1550000000.0,51666.67
130,3,1,1,1,27,5300000000.0,176666.67
335,4,1,1,1,136,33500000000.0,1116666.67
320,4,1,1,1,136,40000000000.0,1333333.33
192,3,1,1,1,136,19500000000.0,650000.0
100,2,1,1,1,58,8000000000.0,266666.67
148,3,1,1,1,136,14800000000.0,493333.33
145,2,1,1,1,151,14700000000.0,490000.0
192,4,1,1,1,136,22000000000.0,733333.33
235,3,1,1,1,107,16450000000.0,548333.33
225,3,1,1,1,69,15750000000.0,525000.0
221,4,1,1,1,136,25000000000.0,833333.33
312,4,1,1,1,51,45000000000.0,1500000.0
188,3,1,1,1,113,17672000000.0,589066.67
170,2,1,1,1,51,12400000000.0,413333.33
198,3,1,1,1,51,27720000000.0,924000.0
80,2,1,1,1,107,3100000000.0,103333.33
170,3,1,1,1,106,18700000000.0,623333.33
110,2,1,1,1,167,6600000000.0,220000.0
650,2,1,1,0,3,5200000000.0,173333.33
200,3,1,1,1,136,12000000000.0,400000.0
101,3,1,1,1,44,6500000000.0,216666.67
104,2,1,1,1,53,3850000000.0,128333.33
70,2,1,1,1,109,3200000000.0,106666.67
76,2,1,1,0,147,2570000000.0,85666.67
110,2,1,1,1,53,4300000000.0,143333.33
160,2,1,1,1,119,16200000000.0,540000.0
179,3,1,1,1,40,13800000000.0,460000.0
256,3,1,1,1,40,18500000000.0,616666.67
90,2,1,1,1,53,3850000000.0,128333.33
77,2,1,1,1,147,2570000000.0,85666.67
96,2,1,1,1,119,5600000000.0,186666.67
75,1,1,1,1,27,3250000000.0,108333.33
79,2,1,1,1,1,3000000000.0,100000.0
67,1,1,1,1,136,3400000000.0,113333.33
125,2,1,1,1,147,6400000000.0,213333.33
75,2,1,1,0,147,1890000000.0,63000.0
75,2,1,1,0,147,1890000000.0,63000.0
91,2,1,1,1,136,5400000000.0,180000.0
105,2,1,1,1,116,1417500000.0,47250.0
66,2,1,1,1,112,1585000000.0,52833.33
86,2,1,1,1,158,3270000000.0,109000.0
72,2,1,1,0,109,2380000000.0,79333.33
148,2,1,0,1,86,4500000000.0,150000.0
84,2,1,1,1,136,4600000000.0,153333.33
128,2,1,1,1,106,12800000000.0,426666.67
65,1,1,1,1,153,3900000000.0,130000.0
140,3,1,1,1,119,11800000000.0,393333.33
115,2,1,1,1,44,7400000000.0,246666.67
105,2,1,1,1,136,5700000000.0,190000.0
87,2,1,1,1,118,650000000.0,21666.67
75,2,1,1,0,147,1890000000.0,63000.0
60,1,1,1,1,120,875000000.0,29166.67
68,1,1,1,1,162,2630000000.0,87666.67
49,1,1,1,1,153,2200000000.0,73333.33
103,2,1,1,1,68,9270000000.0,309000.0
55,1,1,1,1,153,2200000000.0,73333.33
140,3,1,1,1,123,7700000000.0,256666.67
257,4,1,1,1,120,12850000000.0,428333.33
82,2,1,1,1,123,4018000000.0,133933.33
167,3,1,1,1,123,10688000000.0,356266.67
53,1,0,1,0,153,1640000000.0,54666.67
51,1,0,1,0,153,1550000000.0,51666.67
54,1,1,1,0,153,2130000000.0,71000.0
82,2,1,1,1,143,4100000000.0,136666.67
75,2,1,1,1,153,2800000000.0,93333.33
98,2,1,1,1,153,4520000000.0,150666.67
75,2,1,1,0,147,1890000000.0,63000.0
70,1,1,1,1,106,5600000000.0,186666.67
75,2,1,1,0,147,1890000000.0,63000.0
64,1,1,1,1,43,3700000000.0,123333.33
85,2,1,1,1,75,2100000000.0,70000.0
48,1,0,1,0,117,980000000.0,32666.67
75,2,1,1,0,147,1890000000.0,63000.0
246,3,1,1,1,44,22500000000.0,750000.0
168,3,1,1,1,58,14000000000.0,466666.67
280,4,1,1,1,136,38500000000.0,1283333.33
75,2,1,1,0,147,1890000000.0,63000.0
84,2,1,1,1,118,680000000.0,22666.67
75,2,1,1,0,147,1890000000.0,63000.0
108,2,1,1,1,62,5180000000.0,172666.67
62,1,1,1,1,147,2580000000.0,86000.0
70,2,1,1,1,158,3370000000.0,112333.33
180,3,1,1,1,119,9900000000.0,330000.0
135,3,1,1,1,1,6480000000.0,216000.0
75,2,1,1,0,147,1890000000.0,63000.0
108,2,1,1,1,51,6200000000.0,206666.67
91,2,1,1,1,44,5180000000.0,172666.67
120,2,1,1,1,58,8900000000.0,296666.67
112,2,1,1,0,58,7500000000.0,250000.0
75,2,1,1,0,147,1890000000.0,63000.0
123,2,1,1,1,121,4059000000.0,135300.0
69,2,1,1,1,121,1800000000.0,60000.0
400,5,1,1,0,88,85000000000.0,2833333.33
660,5,1,1,0,88,55000000000.0,1833333.33
66,1,1,0,1,121,1850000000.0,61666.67
80,2,1,1,1,112,2150000000.0,71666.67
44,1,1,1,0,121,880000000.0,29333.33
180,3,1,1,1,41,9360000000.0,312000.0
164,3,1,1,1,41,9840000000.0,328000.0
213,3,1,1,1,41,14484000000.0,482800.0
100,2,1,1,1,147,3400000000.0,113333.33
75,2,1,1,0,147,1890000000.0,63000.0
300,3,1,1,1,106,55500000000.0,1850000.0
126,3,1,1,1,112,3000000000.0,100000.0
85,2,1,1,1,92,2500000000.0,83333.33
75,2,1,1,0,147,1890000000.0,63000.0
57,1,0,1,1,117,1270000000.0,42333.33
61,1,0,1,0,147,1990000000.0,66333.33
79,2,1,1,1,75,1817000000.0,60566.67
68,1,1,1,1,121,2450000000.0,81666.67
105,2,1,1,1,118,1000000000.0,33333.33
105,2,1,1,1,136,7700000000.0,256666.67
160,2,1,1,1,118,1930000000.0,64333.33
100,2,1,1,1,118,585000000.0,19500.0
125,3,1,1,1,136,12500000000.0,416666.67
94,2,1,0,1,118,990000000.0,33000.0
80,2,0,1,0,109,2200000000.0,73333.33
75,2,1,0,1,117,2300000000.0,76666.67
99,3,1,1,1,107,4190000000.0,139666.67
90,2,1,1,1,147,4099000000.0,136633.33
129,3,1,1,1,147,4500000000.0,150000.0
245,3,1,1,1,15,36500000000.0,1216666.67
102,2,1,1,0,117,2030000000.0,67666.67
141,3,1,1,1,114,1225000000.0,40833.33
96,2,1,1,1,147,3840000000.0,128000.0
155,3,1,1,1,69,8600000000.0,286666.67
300,3,1,1,1,51,55500000000.0,1850000.0
87,2,1,1,1,58,6264000000.0,208800.0
87,2,1,1,1,58,6264000000.0,208800.0
105,2,1,1,1,58,6200000000.0,206666.67
61,1,1,1,1,152,1850000000.0,61666.67
88,2,1,1,1,41,3700000000.0,123333.33
101,2,1,1,1,153,3700000000.0,123333.33
160,2,1,1,1,118,1930000000.0,64333.33
130,2,1,1,1,168,3250000000.0,108333.33
150,3,1,1,1,79,7800000000.0,260000.0
144,2,1,1,1,128,6600000000.0,220000.0
91,2,1,1,1,158,4500000000.0,150000.0
68,2,1,1,1,153,2200000000.0,73333.33
133,3,1,1,1,135,2260000000.0,75333.33
71,2,1,1,1,169,1633000000.0,54433.33
64,1,1,1,1,118,680000000.0,22666.67
132,2,1,1,1,135,2244000000.0,74800.0
95,2,1,1,1,1,5600000000.0,186666.67
95,2,1,1,1,1,4500000000.0,150000.0
102,2,1,1,1,1,5200000000.0,173333.33
120,2,1,1,1,1,6250000000.0,208333.33
117,3,1,1,1,41,4600000000.0,153333.33
55,1,1,1,1,80,1570000000.0,52333.33
60,1,1,1,1,108,295000000.0,9833.33
85,2,1,1,1,75,1900000000.0,63333.33
80,2,0,1,1,75,1750000000.0,58333.33
54,1,1,1,1,75,1500000000.0,50000.0
57,1,1,1,1,53,1880000000.0,62666.67
101,2,1,0,1,121,3130000000.0,104333.33
65,2,1,1,0,53,1960000000.0,65333.33
91,2,1,1,1,123,3230000000.0,107666.67
105,2,1,1,1,118,690000000.0,23000.0
86,2,1,1,1,27,3480000000.0,116000.0
200,3,1,1,1,51,35000000000.0,1166666.67
87,2,1,1,1,118,760000000.0,25333.33
103,2,1,1,1,152,3550000000.0,118333.33
81,2,1,1,1,42,2891700000.0,96390.0
73,2,1,1,1,53,2600000000.0,86666.67
90,2,1,1,1,108,455000000.0,15166.67
134,3,1,1,1,14,1600000000.0,53333.33
60,1,1,1,1,152,1850000000.0,61666.67
51,1,1,1,0,152,2020000000.0,67333.33
108,2,1,1,0,118,1300000000.0,43333.33
86,2,1,1,1,118,610000000.0,20333.33
110,2,1,1,0,118,1870000000.0,62333.33
88,2,1,1,1,118,740000000.0,24666.67
85,2,1,1,1,118,780000000.0,26000.0
100,2,1,1,1,121,3000000000.0,100000.0
87,2,1,1,1,118,715000000.0,23833.33
191,3,1,1,1,51,18145000000.0,604833.33
91,2,1,1,1,142,2093000000.0,69766.67
282,3,1,1,1,51,36660000000.0,1222000.0
282,2,1,1,1,106,30000000000.0,1000000.0
210,3,1,1,1,51,23100000000.0,770000.0
87,2,1,1,1,118,650000000.0,21666.67
170,2,1,1,1,87,7140000000.0,238000.0
89,2,1,1,1,100,2047000000.0,68233.33
64,2,1,1,1,136,3200000000.0,106666.67
89,2,1,1,1,109,3100000000.0,103333.33
135,3,1,1,1,165,11800000000.0,393333.33
75,2,0,0,0,7,1650000000.0,55000.0
105,2,1,1,1,7,3990000000.0,133000.0
320,4,1,1,1,136,40000000000.0,1333333.33
111,2,1,1,1,136,6800000000.0,226666.67
133,3,1,1,1,170,7448000000.0,248266.67
65,1,1,1,0,136,3250000000.0,108333.33
65,1,0,1,1,89,2650000000.0,88333.33
112,2,1,1,1,58,8200000000.0,273333.33
147,3,1,1,1,44,8400000000.0,280000.0
150,3,1,1,1,136,12000000000.0,400000.0
67,1,1,1,1,158,3450000000.0,115000.0
220,3,1,1,1,44,15000000000.0,500000.0
66,2,1,1,1,101,2510000000.0,83666.67
75,2,1,1,0,147,1880000000.0,62666.67
180,3,1,1,1,15,12600000000.0,420000.0
103,2,1,1,1,136,5200000000.0,173333.33
68,1,1,1,1,153,3570000000.0,119000.0
115,2,1,1,1,119,11000000000.0,366666.67
115,2,1,1,1,14,1900000000.0,63333.33
150,3,1,1,1,101,8400000000.0,280000.0
78,2,1,1,1,126,2000000000.0,66666.67
100,2,1,1,1,120,1000000000.0,33333.33
58,1,1,1,1,123,2650000000.0,88333.33
90,2,1,1,1,123,4200000000.0,140000.0
235,3,1,1,1,58,24000000000.0,800000.0
48,1,1,1,1,123,2250000000.0,75000.0
70,2,1,1,1,123,2800000000.0,93333.33
86,2,1,1,1,123,4200000000.0,140000.0
79,2,1,1,1,118,550000000.0,18333.33
88,2,1,1,1,27,3600000000.0,120000.0
145,3,1,1,1,124,13000000000.0,433333.33
64,2,1,1,0,75,1500000000.0,50000.0
135,3,1,1,1,136,11475000000.0,382500.0
50,1,0,1,0,121,1260000000.0,42000.0
87,2,1,1,1,118,540000000.0,18000.0
84,2,1,1,1,118,550000000.0,18333.33
300,4,1,1,1,165,42000000000.0,1400000.0
137,3,1,1,1,165,10000000000.0,333333.33
105,2,1,1,1,157,9500000000.0,316666.67
145,2,1,1,1,165,11000000000.0,366666.67
84,2,1,1,1,118,560000000.0,18666.67
170,2,1,1,1,165,32000000000.0,1066666.67
157,3,1,1,1,165,14800000000.0,493333.33
170,3,1,1,1,165,19000000000.0,633333.33
283,3,1,1,1,165,29700000000.0,990000.0
